Module,Path,Detail1,Detail2,Detail3,SizeBytes,Severity
Unused Asset,Assets/BIA-London.mp3,AudioClip,Safe to delete,,12265370,
Unused Asset,Assets/Docs/projectclean_pro_docs.html,TextAsset,Safe to delete,,73261,
Unused Asset,Assets/556430213_1371645721630007_8687275741614109558_n 1.jpg,Texture2D,Safe to delete,,72467,
Unused Asset,Assets/556430213_1371645721630007_8687275741614109558_n 2.jpg,Texture2D,Safe to delete,,72467,
Unused Asset,Assets/556430213_1371645721630007_8687275741614109558_n.jpg,Texture2D,Safe to delete,,72467,
Unused Asset,Assets/InputSystem_Actions.inputactions,InputActionAsset,Safe to delete,,41005,
Unused Asset,Assets/ProjectCleanPro/Editor/TestResults_20260321_195207.xml,TextAsset,Safe to delete,,38630,
Unused Asset,Assets/ProjectCleanPro/Editor/TestResults_20260321_200529.xml,TextAsset,Safe to delete,,28562,
Unused Asset,Assets/Settings/DefaultVolumeProfile.asset,VolumeProfile,Safe to delete,,24035,
Unused Asset,Assets/Settings/UniversalRenderPipelineGlobalSettings.asset,UniversalRenderPipelineGlobalSettings,Safe to delete,,22478,
Unused Asset,Assets/TutorialInfo/Layout.wlt,DefaultAsset,Safe to delete,,15479,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPCommon.uss,StyleSheet,Safe to delete,,9269,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPGraph.uss,StyleSheet,Safe to delete,,8390,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPDashboard.uss,StyleSheet,Safe to delete,,7994,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPResults.uss,StyleSheet,Safe to delete,,7891,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPTreemap.uss,StyleSheet,Safe to delete,,7381,
Unused Asset,Assets/Prefabs/Prefab.prefab,GameObject,Safe to delete,,7306,
Unused Asset,Assets/Settings/PC_RPAsset.asset,UniversalRenderPipelineAsset,Safe to delete,,4669,
Unused Asset,Assets/Settings/Mobile_RPAsset.asset,UniversalRenderPipelineAsset,Safe to delete,,4650,
Unused Asset,Assets/AddressableAssetsData/AddressableAssetSettings.asset,AddressableAssetSettings,Safe to delete,,4433,
Unused Asset,Assets/Settings/SampleSceneProfile.asset,VolumeProfile,Safe to delete,,3703,
Unused Asset,Assets/ProjectCleanPro/Editor/UI/Styles/PCPVariables.uss,StyleSheet,Safe to delete,,3508,
Unused Asset,Assets/Settings/PC_Renderer.asset,UniversalRendererData,Safe to delete,,3439,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/unifiedraytracing.asset,AddressableAssetGroup,Safe to delete,,3242,
Unused Asset,Assets/AddressableAssetsData/Windows/addressables_content_state.bin,DefaultAsset,Safe to delete,,2957,
Unused Asset,Assets/Prefabs/Prefab 8.prefab,GameObject,Safe to delete,,2946,
Unused Asset,Assets/Prefabs/Prefab 7.prefab,GameObject,Safe to delete,,2946,
Unused Asset,Assets/AddressableAssetsData/AssetGroupTemplates/Packed Assets.asset,AddressableAssetGroupTemplate,Safe to delete,,2527,
Unused Asset,Assets/Settings/Mobile_Renderer 1.asset,UniversalRendererData,Safe to delete,,1753,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/Default Local Group_BundledAssetGroupSchema.asset,BundledAssetGroupSchema,Safe to delete,,1741,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/unifiedraytracing_BundledAssetGroupSchema.asset,BundledAssetGroupSchema,Safe to delete,,1739,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/Packed Assets_BundledAssetGroupSchema.asset,BundledAssetGroupSchema,Safe to delete,,1735,
Unused Asset,Assets/Settings/Mobile_Renderer.asset,UniversalRendererData,Safe to delete,,1713,
Unused Asset,Assets/New Folder/New Animator Controller.controller,AnimatorController,Safe to delete,,1230,
Unused Asset,Assets/AddressableAssetsData/ProfileDataSourceSettings.asset,ProfileDataSourceSettings,Safe to delete,,917,
Unused Asset,Assets/AddressableAssetsData/DataBuilders/BuildScriptPackedPlayMode.asset,BuildScriptPackedPlayMode,Safe to delete,,917,
Unused Asset,Assets/AddressableAssetsData/DataBuilders/BuildScriptPackedMode.asset,BuildScriptPackedMode,Safe to delete,,909,
Unused Asset,Assets/ProjectCleanPro/Editor/BuildScriptFastMode.asset,BuildScriptFastMode,Safe to delete,,905,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Default Local Group.asset,AddressableAssetGroup,Safe to delete,,874,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Packed Assets.asset,AddressableAssetGroup,Safe to delete,,862,
Unused Asset,Assets/NewBlitScriptableRenderPipelineShader.shader,Shader,Safe to delete,,859,
Unused Asset,Assets/AddressableAssetsData/AddressableAssetGroupSortSettings.asset,AddressableAssetGroupSortSettings,Safe to delete,,658,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/Default Local Group_ContentUpdateGroupSchema.asset,ContentUpdateGroupSchema,Safe to delete,,636,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/unifiedraytracing_ContentUpdateGroupSchema.asset,ContentUpdateGroupSchema,Safe to delete,,634,
Unused Asset,Assets/AddressableAssetsData/AssetGroups/Schemas/Packed Assets_ContentUpdateGroupSchema.asset,ContentUpdateGroupSchema,Safe to delete,,630,
Unused Asset,Assets/AddressableAssetsData/DefaultObject.asset,AddressableAssetSettingsDefaultObject,Safe to delete,,563,
Unused Asset,Assets/ProjectCleanPro_Report.csv,TextAsset,Safe to delete,,59,
Missing Reference,Assets/Prefabs/Prefab 7.prefab,MissingReference,misRef,Prefab 7/GameObject,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeDebugShader,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeFragmentationDebugShader,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeOffsetDebugShader,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeSamplingDebugShader,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeSamplingDebugMesh,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeSamplingDebugTexture,,0,Warning
Missing Reference,Assets/Settings/PC_Renderer.asset,UnityEngine.Rendering.Universal.UniversalRendererData,probeVolumeResources.probeVolumeBlendStatesCS,,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 7/GameObject,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 8,0,Warning
Missing Reference,Assets/Prefabs/Prefab.prefab,MissingReference,misRef,Prefab/Prefab 8/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 7/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 8,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,MissingReference,misRef,GameObject/Prefab 8/GameObject,0,Warning
Missing Reference,Assets/Scenes/SampleScene.unity,UnityEngine.Transform,m_CorrespondingSourceObject,GameObject (1),0,Warning
Missing Reference,Assets/Prefabs/Prefab 8.prefab,MissingReference,misRef,Prefab 8,0,Warning
Missing Reference,Assets/Prefabs/Prefab 8.prefab,MissingReference,misRef,Prefab 8/GameObject,0,Warning
Missing Reference,Assets/AddressableAssetsData/AddressableAssetSettings.asset,UnityEditor.AddressableAssets.Settings.AddressableAssetSettings,m_DataBuilders.Array.data[0],,0,Warning
Duplicate,Assets/556430213_1371645721630007_8687275741614109558_n 2.jpg,Hash: 56cdeccd5feaa337d2ef5ae22381c2c81f19a3be6c89c3aa03b5e8647ac2a39b,Refs: 0,Duplicate,72467,
